particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	native_particle	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	1	random_mean	-0.0001738238172404	-0.0004985196836755	0.0001508720491946	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0001738238172404	-0.0001508720491946	0.0004985196836755	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	3	localized	-0.0045826427262238	-0.018501093621929	0.0093358081694812	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0045826427262238	-0.0093358081694812	0.018501093621929	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	3	random_mean	-0.0026451871308897	-0.0045109674575225	-0.0007794068042569	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0026451871308897	0.0007794068042569	0.0045109674575225	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	5	localized	-0.0048314834197978	-0.020203515351978	0.0105405485123823	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0048314834197978	-0.0105405485123823	0.020203515351978	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	5	random_mean	-0.0024440653521676	-0.0026075564376631	-0.0022805742666721	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0024440653521676	0.0022805742666721	0.0026075564376631	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	10	localized	-0.0138943653783954	-0.0160242526902967	-0.0117644780664942	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0138943653783954	0.0117644780664942	0.0160242526902967	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	10	random_mean	-0.0009401524056566	-0.0041968965383295	0.0023165917270162	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0009401524056566	-0.0023165917270162	0.0041968965383295	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	1	localized	-0.0289086102237971	-0.0323427239793899	-0.0254744964682044	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0289086102237971	0.0254744964682044	0.0323427239793899	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.0075661707032633	-0.009038879705086	-0.0060934617014405	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0075661707032633	0.0060934617014405	0.009038879705086	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	3	localized	-0.0399289077501024	-0.0399905392566327	-0.0398672762435722	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0399289077501024	0.0398672762435722	0.0399905392566327	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.0234158079610317	-0.0317331511184978	-0.0150984648035656	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0234158079610317	0.0150984648035656	0.0317331511184978	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	5	localized	-0.0552196335319419	-0.0600704721187979	-0.0503687949450859	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0552196335319419	0.0503687949450859	0.0600704721187979	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.0172740810261853	-0.0266589001565201	-0.0078892618958506	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0172740810261853	0.0078892618958506	0.0266589001565201	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	10	localized	-0.0683061562522081	-0.06905773676964	-0.0675545757347761	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0683061562522081	0.0675545757347761	0.06905773676964	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.009285623759333	-0.0105813814827	-0.007989866035966	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.009285623759333	0.007989866035966	0.0105813814827	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	1	localized	-0.0072825873037994	-0.0123129067628734	-0.0022522678447253	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0072825873037994	0.0022522678447253	0.0123129067628734	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	1	random_mean	0.0035201923765104	0.0021590129597297	0.0048813717932911	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		-0.0035201923765104	-0.0048813717932911	-0.0021590129597297	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	3	localized	-0.0089681336904904	-0.016732633185413	-0.0012036341955677	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0089681336904904	0.0012036341955677	0.016732633185413	patched_minus_baseline
