source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins	source_file	model_dir	model_label	model_order	condition	condition_label
just	discourse_particle	34	3966	just	h	50	50	1	0.0101010101010101	0.74	0.9932200160578276	0.3637893676757812	0.1106461155577965	1.0	0.36846923828125	0.64	0.1440274885894466	0.119888572692871	-0.073639209925248	1.0	0.2189102172851562	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	35	2438	just	h	50	50	1	0.0101010101010101	0.38	0.7781394905241933	-0.055539071559906	0.0869533879917335	1.0	0.135009765625	0.62	0.1391952034221178	0.0927208638191223	-0.1294219285597565	0.0	-0.0406489372253418	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	36	3236	just	h	50	50	1	0.0101010101010101	0.56	0.4442615750851517	0.1055485534667968	-0.1091071292062569	1.0	0.7099609375	0.64	0.8567935266026083	0.3131453323364258	0.3908462704955536	1.0	0.512939453125	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	37	1907	just	h	50	50	0	0.0	0.68	0.8231099672853148	0.1992711639404296	0.0646615269411137	1.0	0.249542236328125	0.54	0.8917005657476437	0.0389391231536865	0.179549825947112	1.0	0.51416015625	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	38	2717	just	h	50	50	0	0.0	0.54	0.9265085779658772	0.0907313728332519	0.0060529154308377	0.0	-0.494873046875	0.66	0.9986238390802434	0.1834986686706542	1.005827184543842	1.0	0.1576995849609375	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	39	4722	just	h	50	50	2	0.0204081632653061	0.62	0.0269920235741612	0.2099296283721924	-0.0577598769659358	1.0	0.62677001953125	0.52	0.9698188879022576	0.0022548770904541	0.0837877393924685	1.0	0.3917264938354492	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
only	discourse_particle	0	315	only	h	50	50	2	0.0204081632653061	0.62	0.9803364614410818	0.3559773826599121	0.1285105091068547	0.0	-0.159454345703125	0.78	0.7740322615557488	0.4204210805892944	0.3350954363188707	0.0	-0.10223388671875	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	1	491	only	h	50	50	1	0.0101010101010101	0.6	0.4670246248567334	0.1302511501312256	-0.1527723453564551	0.0	-0.066925048828125	0.76	0.9964517347050508	0.2013449120521545	0.3442391412502535	1.0	0.0982208251953125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	2	501	only	h	50	50	0	0.0	0.64	0.0019444595184616	0.1343402099609375	-0.065135881320849	0.0	-0.03851318359375	0.56	0.0028122621396814	-0.0006631469726562	-0.0168324159616078	1.0	0.3036117553710937	False	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	3	649	only	h	50	50	0	0.0	0.74	0.7588863965974961	0.2679198551177978	0.03206104907095	0.0	-1.18304443359375	0.52	0.5882853007587893	0.0590781211853027	-0.0518788807281844	1.0	0.559356689453125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	4	660	only	h	50	50	0	0.0	0.64	0.6211801236045098	0.1457040500640869	-0.139445538747479	0.0	-0.0604095458984375	0.54	0.4891878117036246	0.0674951553344726	0.0198477607848415	1.0	0.2324066162109375	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
