model_dir	model_label	model_order	condition	condition_label	generated_from	n_items	mean_delta	median_item_delta	item_delta_q1	item_delta_q3	ci_low	ci_high	mean_delta_from_items	mean_delta_from_condition_summary	abs_diff
llama3	Llama 3 8B	0	not	not (control)	P_prime	30	0.5891466993490854	0.5336226177215576	0.23924833059310907	0.7676899945735931	0.4079700307408969	0.7928755001823105	0.5891466993490855	0.5891466993490855	0.0
llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	P	30	7.930271002054214	3.223039813041687	1.206108912229538	12.156298917531968	4.896521974311272	11.215082866527634	7.930271002054215	7.930271002054215	0.0
llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	P_prime	30	11.918201537768049	4.5218191301822666	1.0224786162376402	17.62837174832821	6.671171425163745	18.071858634134134	11.918201537768047	11.918201537768049	1.7763568394002505e-15
gemma2	Gemma 2 9B	2	not	not (control)	P	30	0.8578247733910879	0.5180100226402282	0.29148915410041804	1.234212313890457	0.5880859661857287	1.1771268246253332	0.8578247733910878	0.8578247733910879	1.1102230246251565e-16
gemma2	Gemma 2 9B	2	not	not (control)	P_prime	30	0.8620305808385214	0.628288996219635	0.207393798828125	1.0321284711360932	0.5884730149547259	1.167374362105131	0.8620305808385214	0.8620305808385214	0.0
gemma2_it	Gemma 2 9B IT	3	not	not (control)	P	30	6.523376132726669	3.1078359711170194	0.8140844213962555	9.941015143990516	3.1365706553538644	10.304131421732901	6.523376132726669	6.5233761327266695	8.881784197001252e-16
gemma2_it	Gemma 2 9B IT	3	not	not (control)	P_prime	30	9.433682884057365	6.30149235367775	1.444705456495285	12.333948998451234	5.862680495035647	13.307662360048292	9.433682884057363	9.433682884057363	0.0
olmo2	OLMo 2 7B	4	not	not (control)	P	30	0.6035197513103486	0.5221945667266845	0.2465569412708282	0.8248544180393219	0.4132701499124369	0.8503569837868215	0.6035197513103486	0.6035197513103485	1.1102230246251565e-16
olmo2	OLMo 2 7B	4	not	not (control)	P_prime	30	0.6927438210646313	0.5120495939254761	0.2209409189224243	0.9740233898162842	0.4728284569720426	0.9508144982556501	0.6927438210646312	0.6927438210646312	0.0
olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	P	30	12.526337903261183	8.664217382669449	3.9482900047302247	20.853521465063096	8.557422037521997	16.797366784026224	12.526337903261185	12.526337903261185	0.0
olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	P_prime	30	16.14045592665672	11.401450586318969	5.125215469002724	27.55934302985668	11.022762540582816	21.846205773659545	16.140455926656724	16.140455926656724	0.0
qwen3_5	Qwen3.5 9B	6	not	not (control)	P	30	1.0129227259159088	0.6714209938049316	0.42296863555908204	1.7765382385253905	0.7287853401263555	1.3166880342404044	1.0129227259159088	1.0129227259159088	0.0
qwen3_5	Qwen3.5 9B	6	not	not (control)	P_prime	30	1.0176682970523834	0.8566084098815918	0.33581140518188474	1.7916218936443329	0.7651247893571854	1.2818480971892667	1.0176682970523834	1.0176682970523834	0.0
qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	P	30	11.249477957963943	10.25009808063507	3.941318974494934	16.13821695923805	8.271040544982752	14.414466152395804	11.249477957963943	11.249477957963943	0.0
qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	P_prime	30	15.380167853991189	12.623266131877898	5.275145600438118	26.974451602101325	11.340220168866715	19.328211139883596	15.38016785399119	15.38016785399119	0.0
llama3	Llama 3 8B	0	only	only	P	30	0.18635742354393006	0.1400221300125122	0.10075253009796142	0.24085809409618372	0.1338775485376517	0.24461104850769033	0.18635742354393	0.18635742354393	0.0
llama3	Llama 3 8B	0	only	only	P_prime	30	0.13590349078178401	0.11224094986915585	0.02354890644550315	0.20399192869663235	0.08060844741861024	0.1945339973926544	0.13590349078178404	0.135903490781784	5.551115123125783e-17
llama3_instruct	Llama 3 8B Inst.	1	only	only	P	30	1.5365277928511298	0.7595139789581299	0.22826953887939447	2.9200595635175706	0.9421820564627646	2.2832882524947324	1.5365277928511303	1.53652779285113	2.220446049250313e-16
llama3_instruct	Llama 3 8B Inst.	1	only	only	P_prime	30	1.3147455428441366	0.6193075346946716	0.23595334708690638	2.3496712464094163	0.821594851277272	1.863295228290557	1.3147455428441366	1.3147455428441366	0.0
gemma2	Gemma 2 9B	2	only	only	P	30	0.1714729834397634	0.10953070402145379	0.025843735337257298	0.24947329163551327	0.09458607714772219	0.27249283046921086	0.17147298343976336	0.1714729834397634	2.7755575615628914e-17
gemma2	Gemma 2 9B	2	only	only	P_prime	30	0.17237690369288125	0.11857905387878415	0.04017942428588867	0.26205514192581175	0.10894062987963357	0.24162067006429028	0.17237690369288125	0.1723769036928812	5.551115123125783e-17
gemma2_it	Gemma 2 9B IT	3	only	only	P	30	0.970696017106374	0.1379758822917938	-0.4738804692029952	2.0762794530391693	-0.2688931208749612	2.447284073843557	0.970696017106374	0.970696017106374	0.0
gemma2_it	Gemma 2 9B IT	3	only	only	P_prime	30	1.4010625847975413	0.8447281193733216	-0.15303919851779935	2.3675351446866992	0.5690585534393787	2.3348453846534083	1.401062584797541	1.4010625847975413	2.220446049250313e-16
olmo2	OLMo 2 7B	4	only	only	P	30	0.24278397568066903	0.2052546787261963	0.10047705411911005	0.32993601858615873	0.17658834930062292	0.3121246354043483	0.24278397568066915	0.2427839756806691	5.551115123125783e-17
olmo2	OLMo 2 7B	4	only	only	P_prime	30	0.1985466113885243	0.15426884889602654	0.052021712660789476	0.292484717965126	0.12780153062343594	0.28058599137266466	0.19854661138852434	0.1985466113885243	2.7755575615628914e-17
olmo2_instruct	OLMo 2 7B Inst.	5	only	only	P	30	1.2493361937999725	0.5026613533496856	-0.8341153395175934	1.615502365231514	0.21644637466669087	2.50414743909041	1.2493361937999725	1.2493361937999723	2.220446049250313e-16
olmo2_instruct	OLMo 2 7B Inst.	5	only	only	P_prime	30	1.9449373987515768	1.682398910522461	0.21918771505355833	3.297947760820389	1.198384923291206	2.7038507264534624	1.9449373987515768	1.9449373987515768	0.0
qwen3_5	Qwen3.5 9B	6	only	only	P	30	0.17555693888664248	0.1360298919677734	0.04631479561328885	0.24858715057373046	0.11677770197987555	0.23863488838076596	0.17555693888664245	0.1755569388866424	5.551115123125783e-17
qwen3_5	Qwen3.5 9B	6	only	only	P_prime	30	0.17265886592864987	0.1296632385253906	0.019817087650299027	0.27221563100814816	0.11360059444904325	0.23956933989127466	0.17265886592864987	0.1726588659286499	2.7755575615628914e-17
qwen35_instruct	Qwen3.5 9B Chat	7	only	only	P	30	1.493025105158488	1.2266276586055755	0.5588828307390212	2.043526145219803	1.100882437888781	1.9200191039125116	1.493025105158488	1.493025105158488	0.0
qwen35_instruct	Qwen3.5 9B Chat	7	only	only	P_prime	30	1.5460137269496916	0.9010823285579681	0.2195865482091903	1.7805097192525863	0.9557891078988711	2.2321647095759705	1.5460137269496919	1.546013726949692	2.220446049250313e-16
