source_model	word	generated_from	n	estimate	statistic	p_value	parameter	conf_low	conf_high	method	alternative	effect_size	short	family	instruction	model_order
Qwen3.5-9B	just	P_prime	2000	0.01561908795524566	9.79347797197538	3.7484893664908216e-22	1999.0	0.012491353700586336	0.018746822209904986	One Sample t-test	two-sided	0.21898882481483734	Qwen3.5-9B	Qwen3.5	False	6
Qwen3.5-9B	not	P	1500	0.08718031757722491	15.738103789172895	9.106132049770697e-52	1499.0	0.07631443669581017	0.09804619845863966	One Sample t-test	two-sided	0.4063560925090031	Qwen3.5-9B	Qwen3.5	False	6
Qwen3.5-9B	not	P_prime	1500	0.1376680667139402	17.486129751063384	1.8800243333801444e-62	1499.0	0.12222482691765689	0.1531113065102235	One Sample t-test	two-sided	0.4514899287699368	Qwen3.5-9B	Qwen3.5	False	6
Qwen3.5-9B	only	P	1500	0.014401687106670641	6.853654149062143	1.0481972497987337e-11	1499.0	0.010279857029040357	0.018523517184300925	One Sample t-test	two-sided	0.17696058919988697	Qwen3.5-9B	Qwen3.5	False	6
Qwen3.5-9B	only	P_prime	1500	0.01812064744984857	7.76494606865085	1.503404635067537e-14	1499.0	0.013543086186968143	0.022698208712729	One Sample t-test	two-sided	0.2004900453872233	Qwen3.5-9B	Qwen3.5	False	6
Qwen3.5-9B-Instruct	just	P	2000	0.020380477589691682	19.748290070384094	1.906398549782331e-79	1999.0	0.01835654526814255	0.022404409911240812	One Sample t-test	two-sided	0.4415851903676294	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	just	P_prime	2000	0.01841262543924408	17.204975605974102	5.658974050225533e-62	1999.0	0.016313817085415107	0.020511433793073054	One Sample t-test	two-sided	0.3847149500618373	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	not	P	1500	0.2529948622016931	41.24969322306445	3.5455175636268344e-249	1499.0	0.2409641904736526	0.26502553392973355	One Sample t-test	two-sided	1.0650624992606237	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	not	P_prime	1500	0.3229126591510759	42.75677561789213	8.215446869301026e-262	1499.0	0.3080984312205388	0.337726887081613	One Sample t-test	two-sided	1.1039751993708238	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	only	P	1500	0.03484331910549249	27.175866399155062	1.465456345293852e-132	1499.0	0.03232833631516897	0.037358301895816	One Sample t-test	two-sided	0.7016778532179019	Qwen3.5-9B-I	Qwen3.5	True	7
Qwen3.5-9B-Instruct	only	P_prime	1500	0.03684422564749817	22.375530468561365	6.453303569698646e-96	1499.0	0.03361428165782287	0.040074169637173467	One Sample t-test	two-sided	0.577733712448632	Qwen3.5-9B-I	Qwen3.5	True	7
