source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	10	319	not	h	50	50	0	0.0	0.78	0.9008454684397607	1.2910154724121095	0.4545428796496257	1.0	3.693115234375	0.76	0.9998661253012965	1.83842960357666	1.7864460554866493	0.0	-1.0472412109375	True	False
not	meaning_control	11	367	not	h	50	50	0	0.0	0.8	0.9992773920768077	0.5311335945129394	0.22458251862410122	1.0	0.02197265625	0.34	0.43787467933176594	-0.23462907791137697	-0.06266529540854293	0.0	-0.2861328125	False	False
not	meaning_control	12	379	not	h	50	50	0	0.0	0.72	0.7902152057776606	1.225887689590454	1.2824120944571515	1.0	2.13775634765625	0.9	0.9998269730270826	1.1305505657196044	0.7632010877084641	1.0	3.749908447265625	True	True
not	meaning_control	13	383	not	h	50	50	0	0.0	0.54	0.7123267711717657	0.15560279846191405	0.1896089564065058	1.0	1.2364521026611328	0.78	0.9957355229549291	0.736821575164795	0.821700891783153	1.0	0.6416015625	True	True
not	meaning_control	14	460	not	h	50	50	0	0.0	0.8	0.9631206304783293	0.7861449432373047	1.1999927959851262	1.0	0.737640380859375	0.56	0.9293064265204055	0.5743660116195679	1.4608373079723953	0.0	-0.652587890625	True	False
not	meaning_control	15	686	not	h	50	50	1	0.010101010101010102	0.88	0.9946797533865062	2.95592547416687	2.5337309113585347	1.0	5.560203552246094	0.82	0.8814868765179152	2.1664846324920655	1.4608397738914796	1.0	1.4476394653320312	True	True
not	meaning_control	16	698	not	h	50	50	1	0.010101010101010102	0.78	0.9547812826823385	1.3462203001976014	0.8858591408947869	1.0	2.4166259765625	0.64	0.39369120849885963	0.7777646207809448	-0.2138740072520296	1.0	0.6416015625	True	True
not	meaning_control	17	702	not	h	50	50	2	0.02040816326530612	0.64	0.13630555845129605	0.058403854370117185	-0.11917401170285162	1.0	0.058837890625	0.62	0.7080811022298794	0.03997100830078125	0.1050899957107175	0.0	-0.317138671875	True	False
not	meaning_control	18	729	not	h	50	50	0	0.0	0.82	0.057943637039120324	1.7839385986328125	-0.08640246383748192	1.0	1.08477783203125	0.68	0.9071492371439969	0.9991767501831055	2.1235109866370845	1.0	0.174468994140625	True	True
not	meaning_control	19	768	not	h	50	50	0	0.0	0.82	0.9604162117447521	0.40108160018920896	0.9602929483069715	1.0	0.171875	0.34	0.07401561080406928	-0.055206527709960936	-0.12941125479941196	0.0	-0.1388092041015625	False	False
not	meaning_control	20	865	not	h	50	50	0	0.0	0.86	0.9987596747379631	1.2770166873931885	0.3121584681236109	1.0	1.62744140625	0.58	0.6132248561635013	1.2678550720214843	0.04137583630637062	1.0	1.844512939453125	True	True
not	meaning_control	21	949	not	h	50	50	4	0.041666666666666664	0.72	0.9029615921885243	0.32570365905761717	0.05836250783187182	1.0	0.0540618896484375	0.68	0.19215122133876375	0.23650421142578126	-0.10455828997552834	1.0	0.265625	True	True
not	meaning_control	22	969	not	h	50	50	2	0.02040816326530612	0.66	0.06317791853513441	0.6197636222839356	-0.20471571616555495	1.0	1.403076171875	0.58	0.8414791234528708	0.2560349249839783	0.08278620897710916	1.0	0.278076171875	True	True
not	meaning_control	23	1154	not	h	50	50	0	0.0	0.64	0.26260233482294915	0.5455867958068847	-0.5236940734887585	0.0	-0.538330078125	0.64	0.9351584302156967	0.28641199111938476	0.8444646948785968	1.0	0.961761474609375	True	False
not	meaning_control	24	1570	not	h	50	50	0	0.0	0.74	0.2073224961728615	0.43249973297119143	0.06695497389205066	1.0	0.385498046875	0.46	0.010384383371678409	0.28408700942993165	-0.29538486994972835	0.0	-0.761962890625	True	False
not	meaning_control	25	1602	not	h	50	50	0	0.0	0.8	0.09271621679341739	0.9361882972717285	-0.3696648979502934	1.0	2.369548797607422	0.5	0.9951014548992806	-0.045253026485443125	0.4462280577328396	0.0	-0.4144287109375	False	False
not	meaning_control	26	1647	not	h	50	50	0	0.0	0.58	0.9986557143286947	0.42121962308883665	0.32280947500036355	0.0	-0.98724365234375	0.66	0.19731037129186701	0.7374661159515381	-0.21458791760655985	1.0	3.1527328491210938	True	False
not	meaning_control	27	1686	not	h	50	50	0	0.0	0.78	0.028440732435517372	2.0262172174453736	-0.05389578828599595	1.0	2.27801513671875	0.62	0.06621898907660698	0.4928792238235474	-0.05560227330607349	1.0	1.1230621337890625	True	True
not	meaning_control	28	1697	not	h	50	50	1	0.010101010101010102	0.78	0.9999999958167334	0.5798377704620361	0.5187130915212227	0.0	-0.273681640625	0.46	0.10442899045313431	0.11474346160888672	-0.37118457275012406	0.0	-0.1500473022460937	True	False
not	meaning_control	29	1700	not	h	50	50	4	0.041666666666666664	0.62	0.8724402136268598	0.15225483179092408	0.14926388642751517	0.0	-2.1787109375	0.8	0.13146299694759014	0.7124200057983399	0.019374019165794724	1.0	0.5041961669921875	True	False
